adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/pBdQ4iorzRV2G38mdS6rzrmUfMA.jpg,"[28, 10752, 12]",840326,fi,Sisu,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",83.855,/ygO9lowFMXWymATCrhoQXd6gCEh.jpg,2023-01-27,Sisu,False,7.486,1822
False,/pnkcE3Q3fPNM9XzWEN1gJJRYYX4.jpg,"[35, 10751, 12]",772,en,Home Alone 2: Lost in New York,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",96.246,/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg,1992-11-15,Home Alone 2: Lost in New York,False,6.7,9178
False,/fHDvGGPFry65ou79WLi6JsjCZrM.jpg,[35],632856,en,Spirited,"Each Christmas Eve, the Ghost of Christmas Present selects one dark soul to be reformed by a visit from three spirits. But this season, he picked the wrong Scrooge. Clint Briggs turns the tables on his ghostly host until Present finds himself reexamining his own past, present and future.",57.34,/h3zAzTMs5EP3cKusOxFNGSFE1WI.jpg,2022-11-10,Spirited,False,6.994,539
False,/kMZIMqEXO5MFd5Y1Ha2jZZF4pvF.jpg,"[27, 9648, 53]",882598,en,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",85.354,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,2022-09-23,Smile,False,6.682,2650
False,/zxWAv1A34kdYslBi4ekMDtgIGUt.jpg,"[28, 12, 14]",566525,en,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,79.313,/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,2021-09-01,Shang-Chi and the Legend of the Ten Rings,False,7.563,8907
False,/bdD39MpSVhKjxarTxLSfX6baoMP.jpg,"[18, 36, 10752]",857,en,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",70.003,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,1998-07-24,Saving Private Ryan,False,8.213,15161
False,/sctvs9cUwJD15qlTlrsh2BXsK75.jpg,"[28, 80, 18]",111,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",88.676,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,1983-12-09,Scarface,False,8.2,11231
False,/qSNz1G1Ts8fFw6v4Vae4aMAjcY7.jpg,"[14, 12, 16, 35, 10751]",810,en,Shrek the Third,"The King of Far Far Away has died and Shrek and Fiona are to become King & Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",79.674,/n4SexGGQzI26E269tfpa80MZaGV.jpg,2007-05-17,Shrek the Third,False,6.294,8622
False,/w1oD1MzHjnBJc5snKupIQaSBLIh.jpg,"[28, 12, 878]",559,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",83.502,/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,2007-05-01,Spider-Man 3,False,6.413,13543
False,/mMoG4nPSDupXIXOwVvpexZY2W0N.jpg,"[28, 18, 53]",254128,en,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",84.266,/2Gfjn962aaFSD6eST6QU3oLDZTo.jpg,2015-05-27,San Andreas,False,6.231,8242
False,/zqwmvcLjif1xMWiUEFMiPtojy8i.jpg,"[28, 53, 27]",786573,en,HellKat,"A fallen MMA fighter must win a netherworld no-holds-barred death tournament against man, beast and demon to save her soul.",79.242,/sNUQVeU78lVomwC7bR8SyCRnjdg.jpg,2021-02-02,HellKat,False,5.542,24
False,/44immBwzhDVyjn87b3x3l9mlhAD.jpg,"[27, 80, 53]",934433,en,Scream VI,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",84.526,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,2023-03-08,Scream VI,False,7.067,2291
False,/1HzL603WOer58xtnrRYdSIL5K04.jpg,"[35, 12]",912908,en,Strays,"When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",82.496,/muDaKftykz9Nj1mhRheMdbuNI9Z.jpg,2023-08-17,Strays,False,7.425,671
False,/1HWNGfaYB4GPwMg8piXYdQHWNuF.jpg,"[14, 16, 10749, 10751]",10882,en,Sleeping Beauty,"A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate.",65.884,/dK4OZwFFxnfK7MvqfVqw94mavL7.jpg,1959-02-17,Sleeping Beauty,False,6.951,4931
False,/ng6SSB3JhbcpKTwbPDsRwUYK8Cq.jpg,"[28, 12, 878]",429617,en,Spider-Man: Far From Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",89.884,/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,2019-06-28,Spider-Man: Far From Home,False,7.433,15005
False,/4tdV5AeojEdbvn6VpeQrbuDlmzs.jpg,"[16, 18, 12, 14]",916224,ja,すずめの戸締まり,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",73.46,/oNbCAM3UVJamxRFd5hUt686aqb2.jpg,2022-11-11,Suzume,False,7.998,1026
False,/4mmrgZW9bcgMRFdV1lCcXqCEXEr.jpg,"[28, 18, 12, 9648, 53]",755401,en,Skydog,"After a high school senior working on his pilot’s license rescues a dog named Oreo, he finds out his mom is a CIA agent who’s been captured. He teams up with Oreo and a new friend to find his mother and uncover double agents inside the CIA.",78.02,/5M3bY1rl9QIQSmrAGPEt9qutj64.jpg,2020-10-20,Skydog,False,6.3,15
False,/rQaHA74pevnGsxcKGaoZVGWe9TC.jpg,"[16, 10751, 35, 14]",508442,en,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",78.195,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,2020-12-25,Soul,False,8.136,9960
False,/j7eWbnyeTN0rFpNCkSzIl7HhQ2C.jpg,"[53, 28]",724209,en,Heart of Stone,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,79.716,/vB8o2p4ETnrfiWEgVxHmHWP9yRl.jpg,2023-08-09,Heart of Stone,False,6.847,1527
